,Queries,Answers,References,Correctness score,Correctness passing,Semantic similarity score,Semantic similarity passing
0,What is the decomposition space of a monolith to microservices migration?,None,get_decomposition_space,1.0,False,0.5429499413214038,False
1,Can you show me the decomposition space graphically?,get_decomposition_space(),get_decomposition_space,4.0,True,0.9834271658902837,True
2,How many decompositions are generated in the decomposition space?,get_decomposition_space(),get_decomposition_space,4.0,True,0.9834271658902837,True
3,What does the decomposition space graph look like?,get_decomposition_space(),get_decomposition_space,4.0,True,0.9834271658902837,True
4,Can you provide a graphical representation of the decomposition space?,get_decomposition_space(),get_decomposition_space,5.0,True,0.9834271658902837,True
5,What are the different decompositions in the decomposition space?,get_decomposition_space(),get_decomposition_space,4.0,True,0.9834271658902837,True
6,How can I visualize the decomposition space?,get_decomposition_space(),get_decomposition_space,4.0,True,0.9834271658902837,True
7,What is the purpose of the decomposition space in microservices migration?,None,get_decomposition_space,1.0,False,0.5429499413214038,False
8,Can you show me all the decompositions in the decomposition space?,get_decomposition_space(),get_decomposition_space,4.0,True,0.9834271658902837,True
9,What are the key components of the decomposition space?,get_decomposition_space(),get_decomposition_space,4.0,True,0.9834271658902837,True
10,How does the decomposition space help in microservices quality metrics?,None,get_decomposition_space,1.0,False,0.5429499413214038,False
11,What are the metrics used in the decomposition space?,None,get_decomposition_space,1.0,False,0.5429499413214038,False
12,Can you explain the decomposition space in a non-graphical format?,get_decomposition_space(),get_decomposition_space,4.0,True,0.9834271658902837,True
13,What are the benefits of using the decomposition space in microservices migration?,None,get_decomposition_space,1.0,False,0.5429499413214038,False
14,How can I find the top 5 decompositions with the highest modularity in a graphical representation?,"get_decomposition_by_metric(k=5, metric='modularity', asc=False, show_plot=True)","get_decomposition_by_metric(k=5, metric=""modularity"", asc=False, show_plot=True)",5.0,True,0.999578547760018,True
15,What are the bottom 3 decompositions with the lowest density?,"get_decomposition_by_metric(k=3, metric='density', asc=True, show_plot=False)","get_decomposition_by_metric(k=3, metric=""density"", asc=True, show_plot=False)",5.0,True,0.9996650272788059,True
16,Which decomposition has the highest stability?,"get_decomposition_by_metric(k=1, metric='stability', asc=False, show_plot=True)","get_decomposition_by_metric(k=1, metric=""stability"", asc=False, show_plot=False)",4.0,True,0.9994452894010855,True
17,Can you show me the top 2 decompositions with the highest number of partitions in a graphical representation?,get_decomposition_space(),"get_decomposition_by_metric(k=2, metric=""n_partitions"", asc=False, show_plot=True)",1.0,False,0.7888987663108098,False
18,What are the top 4 decompositions with the lowest NED?,"get_decomposition_by_metric(k=4, metric='ned', asc=True, show_plot=False)","get_decomposition_by_metric(k=4, metric=""ned"", asc=True, show_plot=False)",4.0,True,0.99957532884168,True
19,Which decomposition has the lowest NED?,"get_decomposition_by_metric(k=1, metric='ned', asc=True, show_plot=False)","get_decomposition_by_metric(k=1, metric=""ned"", asc=True, show_plot=False)",5.0,True,0.9995555240904109,True
20,How can I find the top 3 decompositions with the highest modularity without a graphical representation?,"get_decomposition_by_metric(k=3, metric='modularity', asc=False, show_plot=False)","get_decomposition_by_metric(k=3, metric=""modularity"", asc=False, show_plot=False)",5.0,True,0.9995805636325861,True
21,What are the bottom 2 decompositions with the lowest stability?,"get_decomposition_by_metric(k=2, metric='stability', asc=True, show_plot=False)","get_decomposition_by_metric(k=2, metric=""stability"", asc=True, show_plot=False)",5.0,True,0.9996463746357205,True
22,Can you show me the top decomposition with the highest density in a graphical representation?,"get_decomposition_by_metric(k=1, metric='density', asc=False, show_plot=True)","get_decomposition_by_metric(k=1, metric=""density"", asc=False, show_plot=True)",5.0,True,0.9996323802636562,True
23,Which decomposition has the highest density?,"get_decomposition_by_metric(k=1, metric='density', asc=False, show_plot=True)","get_decomposition_by_metric(k=1, metric=""density"", asc=False, show_plot=False)",4.0,True,0.999473288977559,True
24,How can I find the top 2 decompositions with the highest number of partitions without a graphical representation?,"get_decomposition_by_metric(k=2, metric='n_partitions', asc=False, show_plot=False)","get_decomposition_by_metric(k=2, metric=""n_partitions"", asc=False, show_plot=False)",5.0,True,0.9995947749662525,True
25,What are the top 5 decompositions with the lowest modularity?,"get_decomposition_by_metric(k=5, metric='modularity', asc=True, show_plot=False)","get_decomposition_by_metric(k=5, metric=""modularity"", asc=True, show_plot=False)",5.0,True,0.9995836054484983,True
26,Which decomposition has the lowest modularity?,"get_decomposition_by_metric(k=1, metric='modularity', asc=True, show_plot=False)","get_decomposition_by_metric(k=1, metric=""modularity"", asc=True, show_plot=False)",5.0,True,0.9995623197461435,True
27,Can you show me the top decomposition with the lowest NED in a graphical representation?,"get_decomposition_by_metric(k=1, metric='ned', asc=True, show_plot=True)","get_decomposition_by_metric(k=1, metric=""ned"", asc=True, show_plot=True)",5.0,True,0.9995674777858845,True
